category_id,document_name,parties,agreement_date,effective_date,expiration_date,renewal_term,notice_period_to_terminate_renewal,governing_law,most_favored_nation,non_compete,exclusivity,no_solicit_of_customers,competitive_restriction_exception,no_solicit_of_employees,non_disparagement,termination_for_convenience,rofr_rofo_rofn,change_of_control,anti_assignment,revenue_profit_sharing,price_restrictions,minimum_commitment,volume_restriction,ip_ownership_assignment,joint_ip_ownership,license_grant,non_transferable_license,affiliate_license_licensor,affiliate_license_licensee,unlimited_all_you_can_eat_license,irrevocable_or_perpetual_license,source_code_escrow,post_termination_services,audit_rights,uncapped_liability,cap_on_liability,liquidated_damages,warranty_duration,insurance,covenant_not_to_sue,third_party_beneficiary
affiliate_license_licensor,14.0,14.0,14.0,11.0,13.0,5.0,4.0,14.0,3.0,7.0,6.0,1.0,5.0,3.0,1.0,8.0,3.0,4.0,14.0,8.0,1.0,6.0,4.0,12.0,5.0,14.0,9.0,14.0,10.0,1.0,11.0,1.0,10.0,11.0,7.0,12.0,4.0,4.0,8.0,4.0,1.0
affiliate_license_licensee,38.0,38.0,34.0,35.0,33.0,16.0,8.0,38.0,5.0,15.0,21.0,4.0,9.0,5.0,3.0,19.0,12.0,14.0,35.0,18.0,0.0,14.0,7.0,22.0,11.0,38.0,28.0,10.0,38.0,3.0,24.0,1.0,23.0,25.0,20.0,30.0,2.0,8.0,16.0,13.0,2.0
unlimited_all_you_can_eat_license,11.0,11.0,11.0,10.0,9.0,6.0,4.0,11.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,10.0,7.0,0.0,2.0,4.0,2.0,4.0,10.0,6.0,1.0,3.0,11.0,4.0,2.0,6.0,6.0,4.0,7.0,0.0,3.0,0.0,5.0,1.0
irrevocable_or_perpetual_license,46.0,46.0,42.0,41.0,43.0,18.0,9.0,46.0,6.0,21.0,24.0,2.0,10.0,8.0,5.0,26.0,13.0,14.0,46.0,20.0,1.0,17.0,12.0,33.0,15.0,46.0,32.0,11.0,24.0,4.0,46.0,7.0,29.0,29.0,23.0,39.0,6.0,13.0,22.0,14.0,5.0
source_code_escrow,10.0,10.0,8.0,7.0,9.0,6.0,4.0,10.0,0.0,5.0,4.0,1.0,4.0,3.0,0.0,7.0,2.0,5.0,9.0,5.0,1.0,3.0,3.0,5.0,4.0,9.0,9.0,1.0,1.0,2.0,7.0,10.0,8.0,7.0,6.0,10.0,3.0,4.0,4.0,1.0,2.0
post_termination_services,122.0,122.0,115.0,109.0,116.0,63.0,42.0,120.0,13.0,48.0,60.0,12.0,28.0,24.0,10.0,61.0,30.0,37.0,113.0,57.0,6.0,57.0,33.0,47.0,22.0,89.0,52.0,10.0,23.0,6.0,29.0,8.0,122.0,83.0,40.0,90.0,26.0,31.0,65.0,33.0,11.0
audit_rights,139.0,139.0,128.0,123.0,130.0,75.0,50.0,137.0,13.0,49.0,70.0,12.0,31.0,18.0,9.0,67.0,34.0,51.0,129.0,67.0,4.0,66.0,31.0,49.0,27.0,94.0,56.0,11.0,25.0,6.0,29.0,7.0,83.0,139.0,55.0,113.0,26.0,38.0,65.0,31.0,11.0
uncapped_liability,78.0,78.0,73.0,75.0,76.0,42.0,28.0,77.0,7.0,28.0,38.0,8.0,22.0,9.0,6.0,33.0,15.0,25.0,77.0,28.0,5.0,40.0,22.0,30.0,21.0,64.0,44.0,7.0,20.0,4.0,23.0,6.0,40.0,55.0,78.0,78.0,10.0,22.0,37.0,21.0,7.0
cap_on_liability,184.0,184.0,169.0,164.0,170.0,91.0,59.0,180.0,17.0,54.0,83.0,12.0,37.0,22.0,15.0,90.0,39.0,57.0,164.0,70.0,9.0,83.0,39.0,58.0,30.0,124.0,79.0,12.0,30.0,7.0,39.0,10.0,90.0,113.0,78.0,184.0,28.0,46.0,77.0,44.0,11.0
liquidated_damages,38.0,38.0,35.0,34.0,36.0,21.0,12.0,35.0,2.0,15.0,16.0,4.0,11.0,10.0,4.0,20.0,8.0,19.0,34.0,18.0,4.0,19.0,4.0,16.0,3.0,24.0,16.0,4.0,2.0,0.0,6.0,3.0,26.0,26.0,10.0,28.0,38.0,7.0,22.0,5.0,7.0
warranty_duration,52.0,52.0,47.0,45.0,51.0,35.0,24.0,51.0,7.0,12.0,26.0,5.0,8.0,11.0,3.0,28.0,8.0,13.0,49.0,12.0,4.0,29.0,10.0,17.0,6.0,38.0,22.0,4.0,8.0,3.0,13.0,4.0,31.0,38.0,22.0,46.0,7.0,52.0,29.0,15.0,3.0
insurance,104.0,104.0,98.0,93.0,96.0,47.0,34.0,102.0,10.0,32.0,49.0,12.0,19.0,19.0,13.0,58.0,30.0,31.0,96.0,38.0,6.0,50.0,27.0,34.0,14.0,64.0,34.0,8.0,16.0,0.0,22.0,4.0,65.0,65.0,37.0,77.0,22.0,29.0,104.0,21.0,10.0
covenant_not_to_sue,59.0,59.0,56.0,50.0,56.0,29.0,18.0,58.0,4.0,28.0,34.0,8.0,12.0,10.0,10.0,20.0,12.0,20.0,55.0,24.0,3.0,28.0,13.0,27.0,8.0,47.0,32.0,4.0,13.0,5.0,14.0,1.0,33.0,31.0,21.0,44.0,5.0,15.0,21.0,59.0,6.0
third_party_beneficiary,21.0,21.0,20.0,15.0,17.0,8.0,6.0,18.0,2.0,11.0,8.0,3.0,8.0,7.0,2.0,9.0,7.0,7.0,18.0,8.0,0.0,8.0,2.0,10.0,1.0,12.0,8.0,1.0,2.0,1.0,5.0,2.0,11.0,11.0,7.0,11.0,7.0,3.0,10.0,6.0,21.0
